"","s0","","s2","","s4","","s6",""
"","b","se","b","se","b","se","b","se"
"-3","6.241367","12.79142","4.043872","9.256557",".7153127",".6845014","133.9284","208.8462"
"-2",".1503097","13.74225","-.7265417","8.849349","-.1916771",".4999617","39.33323","203.7565"
"0","13.29661","11.62561","4.120639","7.635317",".9039643",".9058658","-121.0722","141.6814"
"1","20.80646","17.37799","11.08552","10.38129",".8045415",".7071504","317.6247","201.9482"
"2","13.10204","19.80725","18.03163","8.346306",".7197099",".8796743","646.4388","250.5831"
"3","24.647","20.71399","21.92873","12.6489","1.518972",".9831436","655.1148","234.5277"
"4","40.7444","23.58434","22.73754","13.31489","1.781448",".811724","688.8504","374.1092"
"5","19.00285","21.43342","24.5494","14.09162","2.2591",".9295473","586.5726","451.0683"
"N","459","","459","","459","","1332",""
